Market Data - All Shares
As of  07/10/2018 10:03

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
BAYSIDE LAND,BYSD,IL0007590198,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",165200.00,-1.08,250.03,10:00
BAZAN,ORL,IL0025902482,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA Sector-Balance",176.20,-0.45,219.41,10:02
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",8374.00,,,
BEYOND TIME-M,BNTM-M,IL0002490113,,8.00,,,
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance",422.50,-0.02,617.94,10:03
BGI,BGI,IL0010927098,,42.30,,,
BIG,BIG,IL0010972607,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",24750.00,-2.29,115.65,10:00
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",276.40,,,
BIOLIGHT,BOLT,IL0010952237,,1539.00,1.25,,
BIOLINE RX,BLRX,IL0011015182,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",512.30,-6.85,84.22,09:59
BIOMEDICO-M,BIMC.M,IL0011059073,,59.00,,,
BIOTIME,BTX,US09066L1052,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",808.60,,4.49,09:46
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1595.00,,,
BITFARMS,BLLCF,IL0010802416,,389.00,0.08,,
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",13000.00,,0.26,09:45
BONEI TICHON-L,BOTI-L,IL0005310128,,354.00,,,
BONUS BIOGROUP,BONS,IL0004850116,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",56.30,-0.35,12.09,10:01
BRACK CAPIT N V,BCNV,NL0009690619,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",40680.00,-0.05,17.49,09:45
BRAINSWAY,BRIN,IL0011007189,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",2454.00,0.08,14.64,10:03
BRAM INDUS,BRAM,IL0010945157,"TA-Growth, TA-AllShare, TA-Industrials",319.90,,,
BRAND,BRND,IL0005360115,"TA-Growth, TA-AllShare, TA-Industrials",470.30,-2.43,1.65,09:45
BRENMILLER,BNRG,IL0011415309,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",1020.00,0.39,0.12,10:02
BRILL,BRIL,IL0003990145,"TA-Growth, TA-AllShare, TA-Industrials",928.90,,,
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare, TA-Rimon",1848.00,1.87,7.12,09:56
C I SYSTEMS,CISY,IL0004420126,,600.70,,,
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",3016.00,-3.18,48.77,09:55
CAN FITE BIO,CANF,IL0010944739,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Rimon",246.90,3.78,9.18,10:01
CAPITAL HOLD-M,CPHO-M,IL0010843675,,954.70,,,
CAPITAL POINT,CPTP,IL0010971468,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",49.50,2.27,,09:45
CARASSO,CRSO,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1910.00,,,
CARMIT,CRMT,IL0004400169,,991.30,,,
CASTRO,CAST,IL0002800162,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",10390.00,,,
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",2484.00,-0.44,43.58,10:01
CHAM,CHAM,IL0003420143,,141.20,,,
CHIRON,CHR,IL0004560129,,40.50,0.75,,
CIM COM0.001$-L,CMCT-L,US1255251050,,5708.00,0.72,,
CIM COMME.P L,CMCTP,US1255258576,,9601.00,,,
CITRUS PLANT 5,CTPL5,IL0007160356,,65710.00,,,
CITRUS PLANT1,CTPL1,IL0007160190,,15700.00,,,
CLAL BEVERAGES,CLBV,IL0011476855,"TA-SME60, TA-AllShare, TA-SME150",4900.00,,,
CLAL BIOTECH,CBI,IL0011042806,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",366.50,0.96,10.99,09:54
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",7061.00,-0.73,33.26,09:51
COFIX GROUP,CFX,IL0003890154,"TA-Growth, TA-AllShare",628.10,,,
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",8602.00,,0.34,09:45
COLLPLANT,CLGN,IL0004960188,,37.00,,,
COMPUGEN,CGEN,IL0010852080,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",1218.00,-3.10,41.40,10:03
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",10620.00,,,
CYREN,CYRN,IL0010832371,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",1168.00,0.69,28.32,09:49
D.N.A BIOMED,DNA,IL0011038523,,24.20,1.68,,
DAN   HOTELS,DANH,IL0008220159,,2566.00,,,
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",18540.00,0.38,8.33,09:56
DELEK     ROYAL,DLRL,IL0011294936,"TA-Growth, TA-AllShare, TA Oil & Gas Index, TA-Rimon",1133.00,,0.50,09:55
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",2076.00,-0.62,34.74,09:48
DELEK DRILL L,DEDR.L,IL0004750209,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",1087.00,-0.09,1320.60,10:03
DELEK ENERGY,DLEN,IL0005650101,"TA-Growth, TA-AllShare, TA Oil & Gas Index",173600.00,-0.86,179.29,10:00
DELEK GROUP,DLEKG,IL0010841281,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon",63150.00,0.48,813.80,09:59
DELTA,DELT,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",10700.00,-0.93,19.90,09:50
DEXIA ISRAEL,DXIL,IL0007110104,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA-Rimon, TA-SME150",69000.00,-0.07,2.07,09:45
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",5803.00,,,
DIRECT CAPITA,DCI-M,IL0001110134,,165.00,3.06,,
DIRECT INSURANC,DIFI,IL0010836828,"Tel-Div Index, TA-Growth, TA-AllShare",4205.00,,,
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",1226.00,-0.41,1141.31,10:02
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",1033.00,-0.58,24.79,09:50
DOLOMITE HOLD-M,DLMT-M,IL0007700169,,34.60,,,
DOR ALON,DRAL,IL0010932023,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",5581.00,-0.50,3.25,09:48
DORSEL,DRSL,IL0010966765,"TA-RealEstate, TA-Growth, TA-AllShare",958.00,,,
DUNIEC,DUNI,IL0004000100,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",6802.00,,,
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1140.00,,,
EDRI-EL,EDRL,IL0011051625,,133.90,,,
EL AL,ELAL,IL0010878242,"TA-SME60, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",100.10,0.50,75.81,09:59
ELBIT IMAGING,EMITF,IL0010811169,"TA-Growth, TA-AllShare",758.60,,,
ELBIT MEDITEC,EMTC,IL0004740150,,103.00,,,
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",46410.00,-0.51,656.91,10:02
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",7097.00,,,
ELDAV,ELDAV,IL0010836588,,152.70,,,
ELECTRA,ELTR,IL0007390375,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",90600.00,,,
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",3889.00,-1.54,64.51,10:03
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",1080.00,1.41,2.81,09:52
ELECTREON,ELWS,IL0003680191,,1493.00,,,
ELLOMAY,ELLO,IL0010826357,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",2927.00,,,
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",611.60,,,
ELRON,ELRN,IL0007490779,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1294.00,,,
ELSPEC,ELSPC,IL0010903644,,209.90,,,
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",2450.00,,,
ENDYMED,ENDY,IL0011010217,,288.30,,,
ENERGIX,ENRG,IL0011233553,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",414.00,,51.31,10:00
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",192.60,-2.13,337.09,10:01
EQUITAL,EQTL,IL0007550176,"TA-Growth, TA-AllShare",9720.00,,,
EVOGENE,EVGN,IL0011050551,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1041.00,0.29,10.91,10:00
EXALENZ,EXEN,IL0011048688,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite",1050.00,-1.50,55.02,09:45
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",1798.00,,,
FANTASY NETWORK,FNTS,IL0002780109,,382.00,4.31,,
FATTAL,FTAL,IL0011434292,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA Sector-Balance",41420.00,-0.67,21.54,09:45
FC REALTY-L,FCRE-L,US30258F1021,,89.00,-5.92,,
FIBI BANK,FTIN,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",8055.00,-0.43,361.55,10:03
FIBI HOLDINGS,FIBI,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",10010.00,-0.79,54.03,10:02
FMS,FBRT,IL0003150104,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9756.00,0.16,26.81,09:50
FORESIGHT,FRSX,IL0001990188,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",203.00,-1.69,55.19,09:55
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",15140.00,,35.75,09:48
FORMULA VISN,FVT,IL0001690119,,38.60,,,
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",7361.00,-0.70,117.26,10:03
FRIDENSON,FRDN,IL0011022196,"TA-Growth, TA-AllShare",8993.00,,,
FRUTAROM,FRUT,IL0010810823,,38100.00,,,
G.F.C-L,GFC-L,IL0011226888,,1014.00,,,
G.P GLOBAL,GPGB,IL0011447815,"TA-Growth, TA-AllShare",646.50,,,
GABAY PROPERT,GBPR,IL0007710143,,1989.00,,,
GABAY URBAN DEV,GBUD,IL0011161770,,119.60,,,
GAN SHMUEL,GSFI,IL0005320101,"TA-Growth, TA-AllShare, TA-Industrials",3369.00,,,
GAON GROUP,GAGR,IL0004540170,"TA-Growth, TA-AllShare, TA-Industrials",391.90,,,
GAON-M,GAON-M,IL0011047441,,44.80,,,
GAZIT GLOBE,GZT,IL0001260111,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",3189.00,-0.81,650.78,10:02
GILAT,GILT,IL0010825102,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",3224.00,0.09,22.18,09:50
GINEGAR,GNGR,IL0010958929,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",2307.00,,,
GIVOT       L,GIVO.L,IL0005060228,,1.00,,,
GLILEO TECH,GLTC,IL0010819832,,61.00,,,
GLOB EXPLOR,GLEX,IL0011198335,,178.90,17.70,,
GLOBAL KNAFAIM,GKL,IL0011413163,"TA-Growth, TA-AllShare, TA-Rimon",179.30,,,
GLOBRANDS,GLRS,IL0011474876,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",52450.00,,,
GODM-M,GODM-M,IL0004940131,,34.80,,,
GOLAN PLASTIC,GLPL,IL0010919335,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",745.20,,,
GOLD,GOLD,IL0001490130,"TA-Growth, TA-AllShare",14390.00,,,
GOLDEN HOUSE,GOHO,IL0002350101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon",1418.00,,,
GOLF,GOLF,IL0010961485,"TA-Growth, TA-AllShare, TA-Rimon",385.20,,,
GULLIVER-M,GLVR-M,IL0004840141,,1040.00,,,
HACHSHARA-L,HAHO-L,IL0003430126,,452.30,,,
HADASIT BIO,HDST,IL0010954050,,490.50,,,
HADERA PAPER,HAP,IL0006320183,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",29470.00,0.89,53.33,10:02
HAGAG,HGG,IL0008230133,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",883.60,,,
HALMANALDUB INV,HAIN,IL0010946221,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",405.30,,,
HAMAMA,HMAM,IL0011047854,,315.00,,,
HAMASHBIR 365,MSAH,IL0011049595,"TA-Growth, TA-AllShare",86.00,6.04,0.00,09:45
HAMAT,HAMAT,IL0003840167,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1103.00,,,
HAMLET,HAML,IL0010803240,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9980.00,-0.99,237.21,09:49
HANAN MOR,HNMR,IL0011025322,"TA-RealEstate, TA-Growth, TA-AllShare",1682.00,,,
HAREL,HARL,IL0005850180,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA Sector-Balance",2874.00,0.14,95.95,10:02
HERODIUM INV-L,HROD-L,IL0011043630,,162.00,,,
HILAN,HLAN,IL0010846983,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",9000.00,-1.53,806.07,09:59
HIRON,HRON,IL0001500110,"TA-Growth, TA-AllShare",140100.00,,1.40,09:46
HOD,HOD,IL0003510158,"TA-Growth, TA-AllShare, TA-Industrials",1771.00,,,
HOLMES PLACE,HLMS,IL0011425878,"TA-Growth, TA-AllShare, TA-Rimon",385.00,,,
IBI INV HOUSE,IBI,IL0001750186,"TA-Finance Index, TA-Maala Index, TA-Growth, TA-AllShare, TA Insurance-Plus",3600.00,,,
IBITEC     FUND,IBITEC.F,IL0011425381,,92.50,,,
ICB,ICB,IL0010970544,,77.70,,,
ICECURE MEDICAL,ICCM,IL0011224156,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",82.00,-1.09,1.28,09:45
ICL,ICL,IL0002810146,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",2262.00,-0.31,1166.31,10:02
IDI INSUR,IDIN,IL0011295016,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",21860.00,,,
IES,IES,IL0004310152,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",17250.00,,,
ILDC ALPHA,ILDA,IL0011214744,,168.20,,,
ILEX MEDICAL,ILX,IL0010807530,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",5218.00,,,
IMCO,IMCO,IL0002820129,,1136.00,,,
INBAR GROUP,INBR,IL0004240102,,168.00,,,
INDUS BUILDING,IBLD,IL0002260193,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",511.00,0.18,66.71,10:03
INFIMER,INFR,IL0010806888,,2068.00,-1.19,,
INROM CONST,INRM,IL0011323560,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",1390.00,0.51,43.97,09:51
INSULINE,INSL,IL0011201618,,2459.00,1.86,,
INTER INDSTRIES,ININ,IL0010809288,"TA-Growth, TA-AllShare, TA-Industrials",520.00,,,
INTERCURE,INCR,IL0011063760,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",296.70,-8.14,1084.90,10:03
INTERGAMA,INTR,IL0001740112,,8800.00,,,
INTERNET GOLD,IGLD,IL0010834435,"TA-SME60, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",902.60,,,
INTERNET RES,IRI,IL0011435026,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",180.00,,,
ISRAEL CANADA,ISCN,IL0004340191,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",306.30,-1.98,15.55,09:58
